Date,Week,Period,Customer,Sales Channel,Sales Rep,Item Class,Coffee Size,Item / Memo,Document Number,Location,Revenue,Quantity,Units Sold,Unit,Unit Multiplier,Package Lbs,Weight Source,Multiplier Source,Weight Review,Lbs,$/LB,Snapshot Date
2026-06-16,(26-Jun) 25,Jun 2026,Uncle Bill's,Foodservice : Foodservice Direct,Robert Ford,Finished Goods: Roasted Coffee,5lb,Conv Cof: Vienna Melange Kraft Bag (5lb),INV845803,LA : 1ROASTERY (LA),488.7,10.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,97.74,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Nick and Sons,Foodservice : Foodservice Direct,Joe Slagter,Marketing Materials,- None -,DRIVER: pickup the return of extra 6 gallons delivered last time,INV845804,LA : 1ROASTERY (LA),0.0,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Nick and Sons,Foodservice : Foodservice Direct,Joe Slagter,Finished Goods: Roasted Coffee,12oz,Org Black Magic GW (12oz),INV845804,LA : 1ROASTERY (LA),71.22,6.0,1.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.75,94.96,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Nick and Sons,Foodservice : Foodservice Direct,Joe Slagter,Finished Goods: Roasted Coffee,12oz,Org Blackstrap Espresso Blend GW (12oz),INV845804,LA : 1ROASTERY (LA),71.22,6.0,1.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.75,94.96,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Lagu Cafe,Foodservice : Foodservice Direct,Phil Hand,Finished Goods: Cold Brew,- None -,"CB Classic Concentrate,1 Gallon",INV845805,LA : 1ROASTERY (LA),119.36,4.0,4.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Lagu Cafe,Foodservice : Foodservice Direct,Phil Hand,Finished Goods: Roasted Coffee,1lb,Org Decaf: Black Magic GW (1lb) Espresso,INV845805,LA : 1ROASTERY (LA),16.39,1.0,1.0,,1.0,1.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,1.0,16.39,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Soho House DTLA,Foodservice : Foodservice Direct,Joe Slagter,Finished Goods: Roasted Coffee,2lb,Org Decaf: Black Magic GW (2lb),INV845806,LA : 1ROASTERY (LA),26.22,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,13.11,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Soho House DTLA,Foodservice : Foodservice Direct,Joe Slagter,Finished Goods: Roasted Coffee,5lb,Org Black Magic GW (5lb),INV845806,LA : 1ROASTERY (LA),301.0,5.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,60.2,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Soho House DTLA,Foodservice : Foodservice Direct,Joe Slagter,Finished Goods: Roasted Coffee,5lb,Org Blackstrap Espresso Blend GW (5lb),INV845806,LA : 1ROASTERY (LA),180.6,3.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,36.12,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,12oz,Org Colombia GW (12oz) Drip/Pour Over,INV845807,LA : 1ROASTERY (LA),19.0,1.0,1.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.75,25.333333333333332,2026-07-21
